"Position","Merk","Naam","Prijs"
1,"Correct, SkinCeuticals","A.G.E. Eye Complex","€98.00"
2,"Correct, SkinCeuticals","A.G.E. Interrupter","€172.00"
3,"Protect, SkinCeuticals, UV Protection","Advanced Brightening UV Defense Sunscreen SPF 50","€47.00"
4,"Esse Skincare, Esse Treatments","Ageless Serum","€192.00"
5,"Correct, SkinCeuticals","AOX Eye Gel","€95.00"
6,"Correct, SkinCeuticals","AOX Lip Repair","€50.00"
7,"The Remedy","At Ease","€21.95"
8,"ScKIN Nutrition","Barrier +","€125.00"
9,"Cleanse & Tone, SkinCeuticals","Blemish + Age Cleanser","€42.00"
10,"Correct, SkinCeuticals","Blemish + Age Defense","€97.00"
11,"Cleanse & Tone, SkinCeuticals","Blemish + Age Toner","€42.00"
12,"Esse Body Care, Esse Skincare","Body Oil","€71.00"
13,"Protect, SkinCeuticals, UV Protection","Brightening UV Defense Sunscreen SPF 30","€41.00"
14,"Brush on Block, UV Protection","Brush on Block – Touch of Tan – Tinted Mineral Sunscreen","€48.95"
15,"Brush on Block, UV Protection","Brush on Block – Translucent – Mineral Sunscreen","€48.95"
16,"Prevent, SkinCeuticals","C E Ferulic","€165.00"
17,"Correct, SkinCeuticals","Clarifying Clay Masque","€70.00"
18,"Esse Masks, Esse Skincare","Clay Mask","€46.00"
19,"The Remedy","Clean & Pure","€21.95"
20,"Esse Exfoliators, Esse Skincare","Cocoa Exfoliator","€41.00"
21,"ScKIN Nutrition","Collagen+ (179 gram)","€65.00"
22,"ScKIN Nutrition","Collagen+ (535 gram)","€167.50"
23,"ScKIN Nutrition","Control+","€92.50"
24,"Esse Cleansers, Esse Skincare","Cream Cleanser 100 ml","€37.00"
25,"Esse Cleansers, Esse Skincare","Cream Cleanser 200 ml","€54.50"
26,"Esse Masks, Esse Skincare","Cream Mask","€65.50"
27,"Moisturize, SkinCeuticals","Daily Moisture","€69.00"
28,"Esse Moisturisers, Esse Skincare","Deep Moisturiser","€62.50"
29,"Esse Moisturisers, Esse Skincare","Defence Moisturiser","€114.00"
